trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1001003,,,7,4,BLANKENSHIP HALL,0,0,
1001003,,,4,3,CARMACK 5 (2),0,0,
1001003,,,3,2,CARMACK 5 (1),0,0,
1001003,07:07:00,07:07:00,11,8,UNIVERSITY HALL,0,0,
1001003,,,322,5,AG CAMPUS,0,0,
1001003,,,9,6,ST JOHN ARENA,0,0,
1001003,06:55:00,06:55:00,1,1,BEVIS HALL,0,0,
1001003,,,321,7,RPAC PLAZA,0,0,
1001004,07:19:00,07:19:00,1,7,BEVIS HALL,0,0,
1001004,,,13,2,ARPS HALL,0,0,
1001004,07:07:00,07:07:00,11,1,UNIVERSITY HALL,0,0,
1001004,,,320,5,ST JOHN ARENA ,0,0,
1001004,,,260,4,MASON HALL,0,0,
1001004,,,319,3,BLACKBURN HOUSE,0,0,
1001004,,,17,6,AG CAMPUS,0,0,
1001005,,,7,4,BLANKENSHIP HALL,0,0,
1001005,,,4,3,CARMACK 5 (2),0,0,
1001005,,,3,2,CARMACK 5 (1),0,0,
1001005,07:31:00,07:31:00,11,8,UNIVERSITY HALL,0,0,
1001005,,,322,5,AG CAMPUS,0,0,
1001005,,,9,6,ST JOHN ARENA,0,0,
1001005,07:19:00,07:19:00,1,1,BEVIS HALL,0,0,
1001005,,,321,7,RPAC PLAZA,0,0,
1001006,07:43:00,07:43:00,1,7,BEVIS HALL,0,0,
1001006,,,13,2,ARPS HALL,0,0,
1001006,07:31:00,07:31:00,11,1,UNIVERSITY HALL,0,0,
1001006,,,320,5,ST JOHN ARENA ,0,0,
1001006,,,260,4,MASON HALL,0,0,
1001006,,,319,3,BLACKBURN HOUSE,0,0,
1001006,,,17,6,AG CAMPUS,0,0,
1001007,,,7,4,BLANKENSHIP HALL,0,0,
1001007,,,4,3,CARMACK 5 (2),0,0,
1001007,,,3,2,CARMACK 5 (1),0,0,
1001007,07:55:00,07:55:00,11,8,UNIVERSITY HALL,0,0,
1001007,,,322,5,AG CAMPUS,0,0,
1001007,,,9,6,ST JOHN ARENA,0,0,
1001007,07:43:00,07:43:00,1,1,BEVIS HALL,0,0,
1001007,,,321,7,RPAC PLAZA,0,0,
1001008,08:07:00,08:07:00,1,7,BEVIS HALL,0,0,
1001008,,,13,2,ARPS HALL,0,0,
1001008,07:55:00,07:55:00,11,1,UNIVERSITY HALL,0,0,
1001008,,,320,5,ST JOHN ARENA ,0,0,
1001008,,,260,4,MASON HALL,0,0,
1001008,,,319,3,BLACKBURN HOUSE,0,0,
1001008,,,17,6,AG CAMPUS,0,0,
1001009,,,7,4,BLANKENSHIP HALL,0,0,
1001009,,,4,3,CARMACK 5 (2),0,0,
1001009,,,3,2,CARMACK 5 (1),0,0,
1001009,08:19:00,08:19:00,11,8,UNIVERSITY HALL,0,0,
1001009,,,322,5,AG CAMPUS,0,0,
1001009,,,9,6,ST JOHN ARENA,0,0,
1001009,08:07:00,08:07:00,1,1,BEVIS HALL,0,0,
1001009,,,321,7,RPAC PLAZA,0,0,
1001010,08:31:00,08:31:00,1,7,BEVIS HALL,0,0,
1001010,,,13,2,ARPS HALL,0,0,
1001010,08:19:00,08:19:00,11,1,UNIVERSITY HALL,0,0,
1001010,,,320,5,ST JOHN ARENA ,0,0,
1001010,,,260,4,MASON HALL,0,0,
1001010,,,319,3,BLACKBURN HOUSE,0,0,
1001010,,,17,6,AG CAMPUS,0,0,
1001011,,,7,4,BLANKENSHIP HALL,0,0,
1001011,,,4,3,CARMACK 5 (2),0,0,
1001011,,,3,2,CARMACK 5 (1),0,0,
1001011,08:43:00,08:43:00,11,8,UNIVERSITY HALL,0,0,
1001011,,,322,5,AG CAMPUS,0,0,
1001011,,,9,6,ST JOHN ARENA,0,0,
1001011,08:31:00,08:31:00,1,1,BEVIS HALL,0,0,
1001011,,,321,7,RPAC PLAZA,0,0,
1001012,08:55:00,08:55:00,1,7,BEVIS HALL,0,0,
1001012,,,13,2,ARPS HALL,0,0,
1001012,08:43:00,08:43:00,11,1,UNIVERSITY HALL,0,0,
1001012,,,320,5,ST JOHN ARENA ,0,0,
1001012,,,260,4,MASON HALL,0,0,
1001012,,,319,3,BLACKBURN HOUSE,0,0,
1001012,,,17,6,AG CAMPUS,0,0,
1001013,,,7,4,BLANKENSHIP HALL,0,0,
1001013,,,4,3,CARMACK 5 (2),0,0,
1001013,,,3,2,CARMACK 5 (1),0,0,
1001013,09:07:00,09:07:00,11,8,UNIVERSITY HALL,0,0,
1001013,,,322,5,AG CAMPUS,0,0,
1001013,,,9,6,ST JOHN ARENA,0,0,
1001013,08:55:00,08:55:00,1,1,BEVIS HALL,0,0,
1001013,,,321,7,RPAC PLAZA,0,0,
1001014,09:19:00,09:19:00,1,7,BEVIS HALL,0,0,
1001014,,,13,2,ARPS HALL,0,0,
1001014,09:07:00,09:07:00,11,1,UNIVERSITY HALL,0,0,
1001014,,,320,5,ST JOHN ARENA ,0,0,
1001014,,,260,4,MASON HALL,0,0,
1001014,,,319,3,BLACKBURN HOUSE,0,0,
1001014,,,17,6,AG CAMPUS,0,0,
1001015,,,7,4,BLANKENSHIP HALL,0,0,
1001015,,,4,3,CARMACK 5 (2),0,0,
1001015,,,3,2,CARMACK 5 (1),0,0,
1001015,09:31:00,09:31:00,11,8,UNIVERSITY HALL,0,0,
1001015,,,322,5,AG CAMPUS,0,0,
1001015,,,9,6,ST JOHN ARENA,0,0,
1001015,09:19:00,09:19:00,1,1,BEVIS HALL,0,0,
1001015,,,321,7,RPAC PLAZA,0,0,
1001016,09:43:00,09:43:00,1,7,BEVIS HALL,0,0,
1001016,,,13,2,ARPS HALL,0,0,
1001016,09:31:00,09:31:00,11,1,UNIVERSITY HALL,0,0,
1001016,,,320,5,ST JOHN ARENA ,0,0,
1001016,,,260,4,MASON HALL,0,0,
1001016,,,319,3,BLACKBURN HOUSE,0,0,
1001016,,,17,6,AG CAMPUS,0,0,
1001017,,,7,4,BLANKENSHIP HALL,0,0,
1001017,,,4,3,CARMACK 5 (2),0,0,
1001017,,,3,2,CARMACK 5 (1),0,0,
1001017,09:55:00,09:55:00,11,8,UNIVERSITY HALL,0,0,
1001017,,,322,5,AG CAMPUS,0,0,
1001017,,,9,6,ST JOHN ARENA,0,0,
1001017,09:43:00,09:43:00,1,1,BEVIS HALL,0,0,
1001017,,,321,7,RPAC PLAZA,0,0,
